"Press Release Title","It’s dim up north – so Northerners need bigger brains to see properly","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Latitudinal variation in light levels drives human visual system size","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","5.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","2.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","4.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","15-11-013","Available for Coding?","1.0","1.0","1.0","1.0","1.0","1.0","1.0","","","1.0","","","","","","","","","","","","","","","","","","","1.0","","","","1.0","","1.0"
"","","Date Published","","39289.0","39289.0","39289.0","39289.0","39289.0","39289.0","","","39289.0","","","","","","","","","","","","","","","","","","","39289.0","","","","39289.0","","39289.0"
"","","Word Count - Title","","10.0","12.0","7.0","9.0","12.0","5.0","","","16.0","","","","","","","","","","","","","","","","","","","9.0","","","","9.0","","8.0"
"","","Word Count - Body","1600.0","130.0","550.0","400.0","140.0","160.0","450.0","","","580.0","","","","","","","","","","","","","","","","","","","440.0","","","","360.0","","150.0"
"","","Sentence Count","","","19.0","19.0","12.0","10.0","21.0","","","21.0","","","","","","","","","","","","","","","","","","","20.0","","","","12.0","","8.0"
"","","Who is it written by?","","","","1.0","3.0","3.0","3.0","","","3.0","","","","","","","","","","","","","","","","","","","1.0","","","","3.0","","4.0"
"","","","","","","-9.0","1.0","1.0","3.0","","","1.0","","","","","","","","","","","","","","","","","","","-9.0","","","","1.0","","-9.0"
"","Title","IV(s) in title","","Latitudinal variation in light levels","Northeners","Brain power","Northerners","Northerners","Northerners","","","Dim up north, southerners","","","","","","","","","","","","","","","","","","","Dark winters","","","","North","","Dim up North"
"","","DV(s) in title","","Human visual system size","Bigger brains","Dark North","Brains","Brains","Brains","","","Brain, smaller-minded","","","","","","","","","","","","","","","","","","","Brains and eyeballs","","","","Bigger brains","","Eyes"
"","","Who is it About?","","1.0","1.0","-9.0","1.0","1.0","1.0","","","1.0","","","","","","","","","","","","","","","","","","","1.0","","","","1.0","","-9.0"
"","","Are there quotes in the title?","","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","","","","","","","","","","","","","","","","","","","1.0","","","","0.0","","0.0"
"","","Statement of Cause","","6.0","6.0","6.0","6.0","6.0","6.0","","","6.0","","","","","","","","","","","","","","","","","","","6.0","","","","6.0","","6.0"
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","Absolute latitude ","Latitude of the central point of each individual's country of origin (distance from the equator)","Geographical location (latitude)","Distance awway from the  equator (latitude)","Distance from the equator","Further north (or south) people live from the equator","","","Country's location (latitude)","","","","","","","","","","","","","","","","","","","Latitude","","","","Latitude","","How far north of the equator you live"
"","","IV Code","","24.0","24.0","24.0","24.0","24.0","24.0","","","24.0","","","","","","","","","","","","","","","","","","","24.0","","","","24.0","","24.0"
"","","Is this IV in the first 2 sentences?","","","1.0","1.0","1.0","1.0","1.0","","","1.0","","","","","","","","","","","","","","","","","","","1.0","","","","1.0","","1.0"
"","","Number of Sentences the IV is mentioned on","","","11.0","17.0","8.0","5.0","14.0","","","14.0","","","","","","","","","","","","","","","","","","","7.0","","","","10.0","","5.0"
"","","Words to First Mention","","","0.0","0.0","0.0","0.0","0.0","","","0.0","","","","","","","","","","","","","","","","","","","1.0","","","","0.0","","0.0"
"","","What terms were included in the count?","","","Northerners, populations live from the equator, high latitude, countries, laitude, country, equator, Scandinavia","North, northerners, northern, living at high latitudes, around the world, English, geographical location, Scandinavians, northern climes, living in the north, away from the equator, higher latitudes, countries, UK","Northeners, north, southerners, away from the equator, higher latitude, Scandinavians, living near the equator ","Northerners, further from the equator, Scandinavians, ","Northerners, north, away from the equator, latitude, location, North Wales, northern hemisphere, latitudes","","","Southerners, northerners, countries further from the equator, north of britain, northernly populations, northern areas, english, scandinavians, english, move further away from the equator, higher latitude, country, north, latitudes, northerly","","","","","","","","","","","","","","","","","","","Latitude, Scandinavia, equator, latitudes","","","","North, northern parts of the world, populations live from the equator, high latitudes, away from the equator, latitude, England, Scandinavia","","North, north of the equator, away from the equator, higher latitude"
"","","is there ambiguity?","","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","0.0","","0.0"
"","","if yes describe","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","Is the same IV being coded here as the abstract?","","","0.0","0.0","0.0","0.0","0.0","","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","0.0","","0.0"
"","","Note differences here","","","-9.0","-9.0","-9.0","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","Actual IV for this","Absolute latitude","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","24.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","0.0","0.0","1.0","0.0","","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","0.0","","0.0"
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
""," ","Words to First Mention","","","-9.0","-9.0","-9.0","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","Main Conclusion DV","Main DV of Conclusions ","","Human orbital volume","Volume of eye sockets and brain cavity","Brain volume","Brain size","Brain size","Brain size","","","Brain size","","","","","","","","","","","","","","","","","","","Cranial capacity","","","","Brain capacity","","Eye size"
"","","Code of Main DV","","20.0","20.0","20.0","20.0","20.0","20.0","","","20.0","","","","","","","","","","","","","","","","","","","20.0","","","","20.0","","20.0"
"","","Is this DV in the first 2 sentences?","","","1.0","1.0","1.0","1.0","1.0","","","1.0","","","","","","","","","","","","","","","","","","","1.0","","","","1.0","","1.0"
"","","Number of Sentences the DV is mentioned on","","","13.0","10.0","8.0","5.0","12.0","","","14.0","","","","","","","","","","","","","","","","","","","8.0","","","","8.0","","6.0"
"","","Words to First Mention","","","0.0","0.0","0.0","0.0","0.0","","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","0.0","","0.0"
"","","What terms were included in the count?","","","Bigger brains, the bigger their brains, bigger vision areas, bigger eyes and brains, volume of eye sockets and brain, size of both the brain and the eyes, evolve bigger and bigger eyes, brains also need to be bigger, bigger brains, the brain cavity, eye size, eyeball size","Brain, pea-brained, extra grey matter, brains, ","Brains, brain, visual systems","Brains","Brain, brains, grey matter","","","Brain, brains, grey matter,  ","","","","","","","","","","","","","","","","","","","Brains, brain, cranial capacity, ","","","","Bigger brains, brains, brain, ","","Eyes, eye"
"","","is there ambiguity?","","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","0.0","","0.0"
"","","if yes describe","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","Is the same DV being coded here as the abstract?","","","0.0","0.0","0.0","0.0","0.0","","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","0.0","","0.0"
"","","Note differences here","","","-9.0","-9.0","-9.0","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","Actual DV for this","Human orbital volume","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","20.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","","","","","","","","","","","","","","","","","","","0.0","","","","0.0","","0.0"
"","","Number of sentences the actual DV is mentioned","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
"","","Justification Offered for Generalisation?","","-9.0","-9.0","-9.0","-9.0","-9.0","-9.0","","","-9.0","","","","","","","","","","","","","","","","","","","-9.0","","","","-9.0","","-9.0"
