"Press Release Title","A good laugh with others really does ease the pain, says study","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Social laughter is correlated with an elevated pain threshold","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","2.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","5.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Techniques","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","5.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","15-11-014","Available for Coding?","1.0","1.0","1.0","1.0","","1.0","1.0","","","","1.0","1.0","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Date Published","","39338.0","39338.0","39338.0","","39338.0","39338.0","","","","39338.0","39338.0","","","","","","","","","","","","","","","","","","39338.0","","","","","",""
"","","Word Count - Title","","9.0","12.0","10.0","","3.0","12.0","","","","6.0","5.0","","","","","","","","","","","","","","","","","","6.0","","","","","",""
"","","Word Count - Body","4000.0","140.0","650.0","220.0","","60.0","320.0","","","","530.0","590.0","","","","","","","","","","","","","","","","","","700.0","","","","","",""
"","","Sentence Count","","","24.0","12.0","","4.0","16.0","","","","26.0","70.0","","","","","","","","","","","","","","","","","","36.0","","","","","",""
"","","Who is it written by?","","","","3.0","","4.0","2.0","","","","4.0","3.0","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","","","","","3.0","","-9.0","-9.0","","","","-9.0","3.0","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Title","IV(s) in title","","social laughter","good laugh with others","laugh","","-9.0","belly laugh","","","","laughter","laughter","","","","","","","","","","","","","","","","","","laughter","","","","","",""
"","","DV(s) in title","","pain threshold","pain","hurt","","pain","-9.0","","","","0.0","0.0","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Who is it About?","","1.0","1.0","1.0","","-9.0","1.0","","","","2.0","2.0","","","","","","","","","","","","","","","","","","2.0","","","","","",""
"","","Are there quotes in the title?","","0.0","0.0","0.0","","0.0","0.0","","","","0.0","0.0","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Statement of Cause","","2.0","6.0","6.0","","0.0","0.0","","","","0.0","0.0","","","","","","","","","","","","","","","","","","0.0","","","","","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","relaxed social laughter","relaxed, unforced laughter","genuine laughter","","laughter","belly laughing","","","","relaxed, unforced laughter ","belly laugh","","","","","","","","","","","","","","","","","","belly laugh","","","","","",""
"","","IV Code","","24.0","24.0","24.0","","24.0","24.0","","","","24.0","24.0","","","","","","","","","","","","","","","","","","24.0","","","","","",""
"","","Is this IV in the first 2 sentences?","","","1.0","1.0","","1.0","1.0","","","","1.0","1.0","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Number of Sentences the IV is mentioned on","","","16.0","9.0","","3.0","10.0","","","","15.0","5.0","","","","","","","","","","","","","","","","","","16.0","","","","","",""
"","","Words to First Mention","","","0.0","0.0","","1.0","0.0","","","","0.0","0.0","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","What terms were included in the count?","","","good laugh, laugh properly, comedy, laughter, laugh","laugh, good giggle, laughter, laughing, laughed","","laughter, belly laugh, watching a comedy show","belly laugh, belly lauging, good laugh, laugh, laughed, laughter","","","","laughter, laugh","belly laugh, laughter, comedy, sitcoms, laughed","","","","","","","","","","","","","","","","","","laughter, laugh, guffaw, emptying the lungs","","","","","",""
"","","is there ambiguity?","","0.0","0.0","0.0","","0.0","0.0","","","","0.0","0.0","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","if yes describe","","-9.0","-9.0","-9.0","","-9.0","-9.0","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","","Is the same IV being coded here as the abstract?","","","0.0","0.0","","0.0","0.0","","","","0.0","0.0","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Note differences here","","","-9.0","-9.0","","-9.0","-9.0","","","","-9.0","-9.0","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
