"Press Release Title","Large study will help guide women’s choices in where to give birth","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Perinatal and maternal outcomes by planned place of birth for healthy women with low risk pregnancies: the Birthplace in England national prospective cohort study","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","2.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","1.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","8.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","15-11-016","Available for Coding?","1.0","1.0","1.0","1.0","1.0","1.0","","1.0","1.0","","1.0","","1.0","","","","","","","","","","","","","","","","","1.0","","","","","","1.0"
"","","Date Published","","39410.0","39410.0","39410.0","39410.0","39410.0","","39410.0","39410.0","","39410.0","","39410.0","","","","","","","","","","","","","","","","","39410.0","","","","","","39410.0"
"","","Word Count - Title","","24.0","12.0","13.0","7.0","4.0","","10.0","11.0","","9.0","","10.0","","","","","","","","","","","","","","","","","8.0","","","","","","8.0"
"","","Word Count - Body","4000.0","370.0","3020.0","670.0","290.0","130.0","","770.0","520.0","","280.0","","590.0","","","","","","","","","","","","","","","","","650.0","","","","","","180.0"
"","","Sentence Count","","","129.0","24.0","15.0","5.0","","40.0","20.0","","12.0","","24.0","","","","","","","","","","","","","","","","","26.0","","","","","","10.0"
"","","Who is it written by?","","","","2.0","3.0","3.0","","3.0","2.0","","2.0","","2.0","","","","","","","","","","","","","","","","","2.0","","","","","","3.0"
"","","","","","","-9.0","1.0","2.0","","3.0","-9.0","","-9.0","","-9.0","","","","","","","","","","","","","","","","","-9.0","","","","","","3.0"
"","Title","IV(s) in title","","by planned place of birth","where to give birth","home birth","home birth","home birth","","place of birth","place of birth","","location of birth","","birth setting","","","","","","","","","","","","","","","","","home birth","","","","","","place of birth"
"","","DV(s) in title","","perinatal and maternal outcomes","women's choices","problems","risk for new mums","-9.0","","risk to mum","safety for baby","","safety","","risk for babies","","","","","","","","","","","","","","","","","-9.0","","","","","","-9.0"
"","","Who is it About?","","1.0","1.0","1.0","1.0","1.0","","1.0","1.0","","1.0","","1.0","","","","","","","","","","","","","","","","","1.0","","","","","","1.0"
