"Press Release Title","Mothers’ hard work pays off with big brains for their babies","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Maternal investment, life histories, and the costs of brain growth in mammals","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","2.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","-9.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","6.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","16-11-002","Available for Coding?","1.0","1.0","1.0","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Date Published","","39183.0","39168.0","","","","","","","39169.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Title","","12.0","11.0","","","","","","","8.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Body","4800.0","170.0","480.0","","","","","","","180.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Sentence Count","","","15.0","","","","","","","10.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it written by?","","","","","","","","","","4.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Title","IV(s) in title","","Maternal investment, life histories","Mothers’ hard work","","","","","","","amount of time breast-feed","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV(s) in title","","the costs of brain growth in mammals","baby brain size","","","","","","","brain size","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it About?","","8.0","1.0","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Are there quotes in the title?","","0.0","0.0","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Statement of Cause","","0.0","0.0","","","","","","","6.0","","","","","","","","","","","","","","","","","","","","","","","","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","gestation","duration of pregnancy","","","","","","","suckling periods","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","","1.0","1.0","","","","","","","2.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is this IV in the first 2 sentences?","","","1.0","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of Sentences the IV is mentioned on","","","8.0","","","","","","","6.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","","as above, maternal investment, mother's hard work, amount of time mothers invest, length of pregnancy","","","","","","","as above, breast-feeding","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","is there ambiguity?","","1.0","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","if yes describe","","The abstract conclusions use the conbined term of maternal investment","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","",""
