"Press Release Title","Scientists prove regular aspirin intake halves cancer risk","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Long-term effect of aspirin on cancer risk in carriers of hereditary colorectal cancer: an analysis from the CAPP2 randomised controlled trial","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","3.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","5.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","16-11-007","Available for Coding?","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","1.0","","","","1.0","","1.0"
"","","Date Published","","39382.0","39382.0","39382.0","39382.0","39382.0","39382.0","39382.0","39382.0","39382.0","","","","","","","","","","","","","","","","","","","","39382.0","","","","39382.0","","39382.0"
"","","Word Count - Title","","21.0","8.0","7.0","6.0","14.0","14.0","10.0","25.0","35.0","","","","","","","","","","","","","","","","","","","","5.0","","","","7.0","","7.0"
"","","Word Count - Body","4000.0","350.0","540.0","640.0","330.0","430.0","750.0","620.0","580.0","680.0","","","","","","","","","","","","","","","","","","","","590.0","","","","570.0","","230.0"
"","","Sentence Count","","","22.0","27.0","19.0","25.0","38.0","26.0","29.0","32.0","","","","","","","","","","","","","","","","","","","","28.0","","","","22.0","","12.0"
"","","Who is it written by?","","","","2.0","3.0","3.0","3.0","3.0","3.0","2.0","","","","","","","","","","","","","","","","","","","","2.0","","","","3.0","","3.0"
"","","","","","","2.0","3.0","1.0","3.0","2.0","1.0","2.0","","","","","","","","","","","","","","","","","","","","2.0","","","","2.0","","3.0"
"","Title","IV(s) in title","","Long-term eff ect of aspirin","regular aspirin intake","aspirin","aspirin","aspirin","aspirin","aspirin","aspirin","aspirin","","","","","","","","","","","","","","","","","","","","daily aspirin","","","","aspirin","","aspirin"
"","","DV(s) in title","","cancer risk","cancer risk","cancer risk","cancer","cancer","risk of cancer","bowel cancer risk","risk of developing cancers","bowel cancer risk","","","","","","","","","","","","","","","","","","","","bowel cancer","","","","hereditary cancer risk ","","heredetary cancer risk"
"","","Who is it About?","","1.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","1.0","","","","","","","","","","","","","","","","","","","","2.0","","","","2.0","","2.0"
"","","Are there quotes in the title?","","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","2.0","","","","0.0","","0.0"
