"Press Release Title","Retina holds the key to better vision in deaf people","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Visual Advantage in Deaf Adults Linked to Retinal Changes","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","5.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","8.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","5.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","17-11-007","Available for Coding?","1.0","1.0","1.0","1.0","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Date Published","","39233.0","39233.0","39235.0","","","","","","39234.0","","","","","","","","","","","","","","","","","","","","","","","","","","39234.0"
"","","Word Count - Title","","9.0","10.0","10.0","","","","","","8.0","","","","","","","","","","","","","","","","","","","","","","","","","","5.0"
"","","Word Count - Body","6000.0","250.0","610.0","240.0","","","","","","170.0","","","","","","","","","","","","","","","","","","","","","","","","","","160.0"
"","","Sentence Count","","","19.0","12.0","","","","","","7.0","","","","","","","","","","","","","","","","","","","","","","","","","","9.0"
"","","Who is it written by?","","","","4.0","","","","","","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","4.0"
"","","","","","","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Title","IV(s) in title","","deafness, retinal changes","deafness","deafness","","","","","","deafness","","","","","","","","","","","","","","","","","","","","","","","","","","deafness"
"","","DV(s) in title","","visual advantage","better vision","see better","","","","","","retinas, sight","","","","","","","","","","","","","","","","","","","","","","","","","","sight"
"","","Who is it About?","","1.0","1.0","1.0","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Are there quotes in the title?","","0.0","0.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Statement of Cause","","3.0","0.0","0.0","","","","","","6.0","","","","","","","","","","","","","","","","","","","","","","","","","","6.0"
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","deafness","deafness","deafness","","","","","","deafness","","","","","","","","","","","","","","","","","","","","","","","","","","deafness"
"","","IV Code","","22.0","22.0","22.0","","","","","","22.0","","","","","","","","","","","","","","","","","","","","","","","","","","22.0"
"","","Is this IV in the first 2 sentences?","","","1.0","1.0","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Number of Sentences the IV is mentioned on","","","13.0","7.0","","","","","","5.0","","","","","","","","","","","","","","","","","","","","","","","","","","5.0"
"","","Words to First Mention","","","0.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","What terms were included in the count?","","","deaf","deaf, deafness","","","","","","deaf","","","","","","","","","","","","","","","","","","","","","","","","","","deaf"
"","","is there ambiguity?","","0.0","0.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","if yes describe","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Is the same IV being coded here as the abstract?","","","0.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Note differences here","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Actual IV for this","early onset deafness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","22.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
""," ","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Main Conclusion DV","Main DV of Conclusions ","","neural changes at the retina and optic nerve head","changes in retina","retinal development","","","","","","changes in the retina","","","","","","","","","","","","","","","","","","","","","","","","","","changes to the retina"
"","","Code of Main DV","","20.0","20.0","20.0","","","","","","20.0","","","","","","","","","","","","","","","","","","","","","","","","","","20.0"
"","","Is this DV in the first 2 sentences?","","","1.0","1.0","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Number of Sentences the DV is mentioned on","","","16.0","8.0","","","","","","6.0","","","","","","","","","","","","","","","","","","","","","","","","","","5.0"
"","","Words to First Mention","","","0.0","13.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
