"Press Release Title","Brain scans reveal differences in brain structure in teenagers with severe antisocial behaviour","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Brain Structure Abnormalities in Early-Onset and Adolescent-Onset Conduct Disorder ","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","7.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","1.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","5.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","8.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","18-11-004","Available for Coding?","1.0","1.0","1.0","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"","","Date Published","","39202.0","39172.0","","","","","","","39172.0","","","","","","","","","","","","","","","","","","","","","","","39171.0","",""
"","","Word Count - Title","","9.0","13.0","","","","","","","9.0","","","","","","","","","","","","","","","","","","","","","","","7.0","",""
"","","Word Count - Body","4000.0","240.0","560.0","","","","","","","460.0","","","","","","","","","","","","","","","","","","","","","","","350.0","",""
"","","Sentence Count","","","21.0","","","","","","","21.0","","","","","","","","","","","","","","","","","","","","","","","11.0","",""
"","","Who is it written by?","","","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","4.0","",""
"","","","","","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","Title","IV(s) in title","","Early-Onset and Adolescent-Onset Conduct Disorder","Severe antisocial behaviour","","","","","","","Brain Link","","","","","","","","","","","","","","","","","","","","","","","Anti social behaviour","",""
"","","DV(s) in title","","Brain Structure Abnormalities","Brain differences","","","","","","","Antisocial and yobbish behaviour","","","","","","","","","","","","","","","","","","","","","","","not explicit","",""
"","","Who is it About?","","People with conduct disorder","teenagers","","","","","","","teenagers","","","","","","","","","","","","","","","","","","","","","","","tennagers","",""
"","","Are there quotes in the title?","","0.0","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Statement of Cause","","0.0","2.0","","","","","","","3.0","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","Conduct Disorder","Conduct Disorder","","","","","","","Presence of conduct disorder","","","","","","","","","","","","","","","","","","","","","","","Conduct Disorder","",""
"","","IV Code","","11.0","11.0","","","","","","","11.0","","","","","","","","","","","","","","","","","","","","","","","11.0","",""
"","","Is this IV in the first 2 sentences?","","","1.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"","","Number of Sentences the IV is mentioned on","","","16.0","","","","","","","14.0","","","","","","","","","","","","","","","","","","","","","","","10.0","",""
"","","Words to First Mention","","","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","What terms were included in the count?","","","CD, Anti social behaviour, the disorder","","","","","","","those affected, affected teenagers, the disorder, CD, anti-social behaviour","","","","","","","","","","","","","","","","","","","","","","","Conduct disorder, anti social","",""
"","","is there ambiguity?","","0.0","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","if yes describe","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Is the same IV being coded here as the abstract?","","","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Note differences here","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Actual IV for this","Presence of early-onset or adolscent-onset conduct disorder, assesed using the Schedule for Affective Disorders and Schizophrenia for School-Age Children—Present and Lifetime Version ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","11.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
""," ","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","What terms were included in the count?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Caveats Mentioned?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","Main Conclusion DV","Main DV of Conclusions ","","Grey matter volume reductions in brain regions ","Brain Differences","","","","","","","Smaller regions of the brain","","","","","","","","","","","","","","","","","","","","","","","Size and structure of parts of the brain","",""
"","","Code of Main DV","","20.0","20.0","","","","","","","20.0","","","","","","","","","","","","","","","","","","","","","","","20.0","",""
"","","Is this DV in the first 2 sentences?","","","1.0","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","1.0","",""
"","","Number of Sentences the DV is mentioned on","","","10.0","","","","","","","7.0","","","","","","","","","","","","","","","","","","","","","","","7.0","",""
"","","Words to First Mention","","","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","What terms were included in the count?","","","the reduction in the volume of the insula, Smaller volume of structures in the brain, changes in brain structure, abnormal patterns of brain activity, changes in grey matter","","","","","","","Brain link, stunted growth, brain changes, changes in grey matter volume","","","","","","","","","","","","","","","","","","","","","","","the differences, size of particular regions, reduction in the volume, changes in grey matter volume","",""
"","","is there ambiguity?","","0.0","0.0","","","","","","","2.0","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","if yes describe","","-9.0","-9.0","","","","","","","Not clear at first what exactly they are measuring, but it is later explained","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Is the same DV being coded here as the abstract?","","","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Note differences here","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Actual DV for this","Grey matter volume in selected areas of the brain; amygdala, insula,  anterior cingulate and orbitofrontal cortex","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV Code ","20.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Number of sentences the actual DV is mentioned","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","What terms were included in the count?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Justification Offered for Generalisation?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Caveats Mentioned?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","is the DV quantified ","","0.0","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Base Rate Mentioned","","0.0","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","0.0","",""
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","Second IV","Second IV of Conclusions (or quasi IV)","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","How does this IV relate to the research article","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","IV Code","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Number of Sentences the IV is mentioned on","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","What terms were included in the count?","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","is there ambiguity?","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","if yes describe","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Is the same IV being coded here as the abstract?","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Note differences here","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Actual IV for this","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code ","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
"","","Words to First Mention","","","-9.0","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","",""
