"Press Release Title","Look at your body to reduce pain","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Visual Distortion of Body Size Modulates
Pain Perception
","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","5.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","-9.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","4.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","19-11-003","Available for Coding?","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Date Published","","39120.0","39122.0","","","","","","","","","","","","","","","","","","","","","","","","","","39122.0","","","","","",""
"","","Word Count - Title","","8.0","7.0","","","","","","","","","","","","","","","","","","","","","","","","","","8.0","","","","","",""
"","","Word Count - Body","3000.0","130.0","430.0","","","","","","","","","","","","","","","","","","","","","","","","","","741.0","","","","","",""
"","","Sentence Count","","","21.0","","","","","","","","","","","","","","","","","","","","","","","","","","37.0","","","","","",""
"","","Who is it written by?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","",""
"","Title","IV(s) in title","","Visual distortion of body size","Look at your body","","","","","","","","","","","","","","","","","","","","","","","","","","What you look at","","","","","",""
"","","DV(s) in title","","Pain perception","Pain","","","","","","","","","","","","","","","","","","","","","","","","","","Pain","","","","","",""
"","","Who is it About?","","-9.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Are there quotes in the title?","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"","","Statement of Cause","","6.0","6.0","","","","","","","","","","","","","","","","","","","","","","","","","","6.0","","","","","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","Visual size of the stimulated body part","Viewing your hand","","","","","","","","","","","","","","","","","","","","","","","","","","What you look at","","","","","",""
"","","IV Code","","13.0","13.0","","","","","","","","","","","","","","","","","","","","","","","","","","13.0","","","","","",""
"","","Is this IV in the first 2 sentences?","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
