"Press Release Title","Parental weight strongly influences thinness in children","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","The Intergenerational Transmission of Thinness","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","2.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","1.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","4.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","19-11-012","Available for Coding?","1.0","1.0","1.0","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Date Published","","39355.0","39358.0","","","","","","","","39358.0","","","","","","","","","","","","","","","","","","","","","","","","","39358.0"
"","","Word Count - Title","","5.0","7.0","","","","","","","","8.0","","","","","","","","","","","","","","","","","","","","","","","","","6.0"
"","","Word Count - Body","3000.0","260.0","460.0","","","","","","","","390.0","","","","","","","","","","","","","","","","","","","","","","","","","160.0"
"","","Sentence Count","","","19.0","","","","","","","","14.0","","","","","","","","","","","","","","","","","","","","","","","","","6.0"
"","","Who is it written by?","","","","","","","","","","","3.0","","","","","","","","","","","","","","","","","","","","","","","","","4.0"
"","","","","","","","","","","","","","3.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
"","Title","IV(s) in title","","-9.0","Parental weight","","","","","","","","Thin parents","","","","","","","","","","","","","","","","","","","","","","","","","Skinny parents"
"","","DV(s) in title","","Thinness","Thinness in children","","","","","","","","Skinny genes","","","","","","","","","","","","","","","","","","","","","","","","","Skinny kids"
"","","Who is it About?","","-9.0","1.0","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Are there quotes in the title?","","0.0","0.0","","","","","","","","2.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","Statement of Cause","","0.0","2.0","","","","","","","","6.0","","","","","","","","","","","","","","","","","","","","","","","","","6.0"
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","Parental weight status","Parents' BMI/weight","","","","","","","","Weight of parents","","","","","","","","","","","","","","","","","","","","","","","","","Weight of parents"
"","","IV Code","","25.0","25.0","","","","","","","","25.0","","","","","","","","","","","","","","","","","","","","","","","","","25.0"
"","","Is this IV in the first 2 sentences?","","","1.0","","","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","1.0"
"","","Number of Sentences the IV is mentioned on","","","8.0","","","","","","","","8.0","","","","","","","","","","","","","","","","","","","","","","","","","6.0"
"","","Words to First Mention","","","0.0","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","What terms were included in the count?","","","Parental weight, thinner parents, heights and weights of parents, parents were in the thinner half, thinness in parents, father's weights, thinner parents","","","","","","","","Thin parents, parents are thin, parents are overweight, weight of parents, parents were at the lower half of the ideal BMI range, parents were overweight, thinner parents, ","","","","","","","","","","","","","","","","","","","","","","","","","Skinny parents, ,parents are thin, parents at the lower end og the healthy weight range, height and weight of pareents, parents were at the lower half of the ideal BMI range, thinner parents"
"","","is there ambiguity?","","0.0","0.0","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0"
"","","if yes describe","","-9.0","-9.0","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","-9.0"
