"Press Release Title","Maltreated children show same pattern of brain activity as combat soldiers","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Heightened neural reactivity to threat in child victims of family violence","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","1.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","5.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","4.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","19-11-014","Available for Coding?","1.0","1.0","1.0","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","1.0","","1.0"
"","","Date Published","","39421.0","39420.0","39420.0","39421.0","39421.0","","","","","","","","","","","","","","","","","","","","","","","39421.0","","","","","39420.0","","39421.0"
"","","Word Count - Title","","11.0","11.0","15.0","4.0","5.0","","","","","","","","","","","","","","","","","","","","","","","7.0","","","","","8.0","","6.0"
"","","Word Count - Body","1000.0","210.0","660.0","510.0","70.0","50.0","","","","","","","","","","","","","","","","","","","","","","","230.0","","","","","480.0","","50.0"
"","","Sentence Count","","","27.0","26.0","6.0","4.0","","","","","","","","","","","","","","","","","","","","","","","11.0","","","","","18.0","","4.0"
"","","Who is it written by?","","","","3.0","4.0","4.0","","","","","","","","","","","","","","","","","","","","","","","3.0","","","","","3.0","","4.0"
"","","","","","","3.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","3.0","","","","","1.0","","-9.0"
"","Title","IV(s) in title","","Threat, family violoence","Maltreated children, combat soldiers","Violent homes","Abuse","Beaten Kids","","","","","","","","","","","","","","","","","","","","","","","Abused children","","","","","Child abuse","","Family abuse, "
"","","DV(s) in title","","neural activity","Brain activity","Effect on brain","War","-9.0","","","","","","","","","","","","","","","","","","","","","","","Brains","","","","","Brain","","Brains become tuned"
"","","Who is it About?","","1.0","1.0","1.0","-9.0","1.0","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","1.0","","1.0"
"","","Are there quotes in the title?","","0.0","0.0","1.0","1.0","0.0","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","0.0","","1.0"
"","","Statement of Cause","","2.0","1.0","1.0","1.0","0.0","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","6.0","","6.0"
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","Family violence","Children exposed to family violence","Family violence","Family violence","Abused youngsters","","","","","","","","","","","","","","","","","","","","","","","Maltreated children","","","","","Family violence","","Abuse"
"","","IV Code","","2.0","2.0","2.0","2.0","2.0","","","","","","","","","","","","","","","","","","","","","","","2.0","","","","","2.0","","2.0"
"","","Is this IV in the first 2 sentences?","","","1.0","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","1.0","","1.0"
"","","Number of Sentences the IV is mentioned on","","","10.0","15.0","4.0","3.0","","","","","","","","","","","","","","","","","","","","","","","7.0","","","","","10.0","","2.0"
"","","Words to First Mention","","","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","0.0","","0.0"
"","","What terms were included in the count?","","","Maltreated children, children exposed to family violence, exposure to family violence, cild abuse, exposure to family violence, exposed to documented violence at home, ","Violent homes, domestic violence, violence, no history of violence, child abuse, abuse, these experiences, maltreatment","Abuse, family violence, abused","Beaten, abused","","","","","","","","","","","","","","","","","","","","","","","Abused children, violent homes, children who had been maltreated, maltreated, maltreatment","","","","","Child abuse, family violence, physical abuse, maltreated, violence","","Abuse"
"","","is there ambiguity?","","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","0.0","","0.0"
"","","if yes describe","","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","-9.0","","-9.0"
"","","Is the same IV being coded here as the abstract?","","","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","0.0","","0.0"
"","","Note differences here","","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","-9.0","","-9.0"
"","","Actual IV for this","Maltreated children","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","0.0","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","0.0","","0.0"
"","","Number of sentences the actual IV is mentioned","","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","-9.0","","-9.0"
""," ","Words to First Mention","","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","-9.0","","-9.0"
"","","What terms were included in the count?","","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","-9.0","","-9.0"
"","","Justification Offered for Generalisation between actual IV and Abstract / PR / News Article?","","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","-9.0","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","-9.0","","-9.0"
"","","Caveats Mentioned?","","-9.0","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","-9.0","","-9.0"
"","","Words to First Mention","","","-9.0","-9.0","-9.0","-9.0","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","-9.0","","-9.0"
"","Main Conclusion DV","Main DV of Conclusions ","","AI and amygdala reactivity","Brain activity","Brain activity","Brain activity","Brain changes","","","","","","","","","","","","","","","","","","","","","","","Activity in the amygdala and the anterior insula","","","","","Brain activity","","Activity in the anterior amygdala and insula"
"","","Code of Main DV","","20.0","20.0","20.0","20.0","20.0","","","","","","","","","","","","","","","","","","","","","","","20.0","","","","","20.0","",""
"","","Is this DV in the first 2 sentences?","","","1.0","1.0","1.0","1.0","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","1.0","","1.0"
"","","Number of Sentences the DV is mentioned on","","","6.0","8.0","2.0","2.0","","","","","","","","","","","","","","","","","","","","","","","2.0","","","","","6.0","","1.0"
"","","Words to First Mention","","","0.0","0.0","18.0","1.0","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","0.0","","1.0"
