"Press Release Title","Infants with persistent crying/sleeping/feeding problems more likely to have behaviour problems in childhood ","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Associations between problems with crying, sleeping and/or feeding in infancy and long-term behavioural outcomes in childhood: a meta-analysis ","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","1.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","7.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","6.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","20-11-005","Available for Coding?","1.0","1.0","1.0","","","1.0","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Date Published","","39191.0","39192.0","","","39218.0","","","","","","","","","","","","","","","","","","","","","","","39192.0","","","","","",""
"","","Word Count - Title","","18.0","13.0","","","6.0","","","","","","","","","","","","","","","","","","","","","","","5.0","","","","","",""
"","","Word Count - Body","300.0","250.0","440.0","","","410.0","","","","","","","","","","","","","","","","","","","","","","","400.0","","","","","",""
"","","Sentence Count","","","17.0","","","21.0","","","","","","","","","","","","","","","","","","","","","","","22.0","","","","","",""
"","","Who is it written by?","","","","","","4.0","","","","","","","","","","","","","","","","","","","","","","","2.0","","","","","",""
"","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","2.0","","","","","",""
"","Title","IV(s) in title","","problems with crying, sleeping and/or feeding in infancy ","persistent crying/sleeping/feeding problems ","","","stressed out babies","","","","","","","","","","","","","","","","","","","","","","","Cry-baby' ","","","","","",""
"","","DV(s) in title","","long-term behavioural outcomes in childhood","behaviour problems in childhood ","","","becoming problem kids","","","","","","","","","","","","","","","","","","","","","","","behavioural problems","","","","","",""
"","","Who is it About?","","1.0","1.0","","","1.0","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
"","","Are there quotes in the title?","","0.0","0.0","","","0.0","","","","","","","","","","","","","","","","","","","","","","","1.0","","","","","",""
