"Press Release Title","Researchers find confidence is key to women’s spatial skills ","Key:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Study Title: Original Research","Confidence Mediates the Sex Difference in Mental Rotation Performance","","","","Dotted Cells first","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discipline","5.0","","Title ","","Diagonal Lines Second","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline","-9.0","","First 2 sentences","","Striped Cells Third","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sub-discipline 2","-9.0","","Discussion/ Conclusion","","Blank Cells Last","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Notes (complete/incomplete)","Complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Coder:","4.0","","Journal Article - Body","Journal Article - Title and Abstract","Press Release","Daily Mail","Sun","Mirror","Express","Times","Guardian","Telegraph","Independent","Daily Star","Scotsman","Financial Times","Racing Post","The Observer","Sunday Sun","Mail on Sunday","Sunday Mirror","Sunday Times","Sunday Express","Daily Star Sunday","The People","Sunday Telegraph","Sunday Mail","Sunday Post","Financial Times","Economist","New Scientist","BBC News","Mail Online","Guardian.co.uk","Press Association","Reuters","Associated Press","Metro"
"Reference:","20-11-020","Available for Coding?","1.0","1.0","1.0","1.0","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Date Published","","39416.0","39420.0","39422.0","","","","","","39421.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Title","","9.0","9.0","11.0","","","","","","15.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Word Count - Body","8000.0","150.0","320.0","260.0","","","","","","560.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Sentence Count","","","13.0","10.0","","","","","","38.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it written by?","","","","4.0","","","","","","3.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","-9.0","","","","","","3.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Title","IV(s) in title","","Confidence, sex differences","Confidence","-9.0","","","","","","Sexist jokes","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","DV(s) in title","","Mental rotation performance","Spatial skills","-9.0","","","","","","Drivers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Who is it About?","","1.0","1.0","1.0","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Are there quotes in the title?","","0.0","0.0","0.0","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Statement of Cause","","6.0","6.0","-9.0","","","","","","6.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
""," Main Conclusion IV","Main IV of Conclusions (or quasi IV)","","Confidence","Confidence","Confidence","","","","","","Jokes about female drivers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","","13.0","13.0","13.0","","","","","","13.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is this IV in the first 2 sentences?","","","1.0","1.0","","","","","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Number of Sentences the IV is mentioned on","","","8.0","6.0","","","","","","4.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Words to First Mention","","","0.0","24.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","What terms were included in the count?","","","Confidence, confident, feel beter about herself, confidence-boosting","Confidence, self-belief, feel better about herself, confidence boosting","","","","","","Sexist jokes, sexist barbs, jokes about female drivers, confidence-knocking jokes","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","is there ambiguity?","","0.0","0.0","0.0","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","if yes describe","","-9.0","-9.0","-9.0","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is the same IV being coded here as the abstract?","","","0.0","0.0","","","","","","2.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Note differences here","","","-9.0","-9.0","","","","","","The authors did not make jokes","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Actual IV for this","Confidence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","IV Code","13.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Is there a generalisation?","","0.0","0.0","0.0","","","","","","2.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
